,GDPRX,NUETD,TEGDS,TETCB,TPOPP,ARTCD,AVTCD,CLTCD,DFTCD,JFTCD,KSTCD,LGTCD,MGTCD,NGTCD,RFTCD,WWTCD,BMTCB,GETCB,HYTCB,NUETD.1,SOTCB,WYTCB,GDPrate,,,
1960,10603.67834,0,10.2168882,283128.7124,1321,0.576756724,0.371810202,0.009594272,0.381678496,0.209484043,0.473047749,0.171174162,1.09059647,0.077880568,0.003901492,0.755408397,0.843009967,0.96701495,0.548009967,0,3.369635756,2.062610845,302.3,,,
1961,12121.61561,0,10.00893407,304970.1483,1407,0.605251763,0.461176765,0.012685215,0.45228279,0.248094647,0.507282679,0.224272307,1.209804478,0.096436157,0.007090631,0.788321054,0.841039735,0.964059602,0.546039735,0,3.326108941,2.031047092,305.53,,,
1962,13519.34801,0,9.812171505,325085.2416,1471,0.635134527,0.567826134,0.016841238,0.533395725,0.292475597,0.544154631,0.291408804,1.338823843,0.118748133,0.012546731,0.822647338,0.839089107,0.96113366,0.544089107,0,3.282582127,1.99948334,309.2,,,
1963,15086.99622,0,9.626873872,348480.5723,1521,0.666471743,0.69400912,0.02240065,0.626060203,0.343216119,0.584088461,0.375488473,1.478049024,0.1454085,0.02161563,0.858447068,0.837157888,0.958236832,0.542157888,0,3.239055312,1.967919587,313.03,,,
1964,16514.34036,0,9.453304835,369844.6368,1556,0.699333819,0.842009169,0.029783448,0.731323896,0.400914267,0.627773778,0.479770426,1.627838781,0.177063443,0.03625742,0.895782554,0.835245885,0.955368827,0.540245885,0,3.195528498,1.936355835,317.04,,,
1965,17015.99665,0,9.291708504,375388.2934,1584,0.733796558,1.014075536,0.039499039,0.850218457,0.46616659,0.676364621,0.607837982,1.788508846,0.214409551,0.059213086,0.934718702,0.833352907,0.95252936,0.538352907,0,3.152001683,1.904792082,322.08,,,
1966,18893.68084,0,9.142298604,403592.3784,1614,0.769946804,1.212343346,0.052149728,0.983735609,0.53955606,0.731786125,0.763541695,1.960324397,0.258187645,0.0941522,0.975323117,0.831478764,0.949718146,0.536478764,0,3.108474869,1.87322833,331.77,,,
1967,19787.51633,0,9.00524686,414506.8362,1646,0.807899983,1.438741605,0.06842786,1.132800297,0.621638359,0.797164074,0.950910674,2.143492399,0.309173951,0.14575903,1.017666216,0.829623269,0.946934904,0.534623269,0,3.064948054,1.841664577,341,,,
1968,22679.56382,0,8.880672213,456148.2095,1682,0.847849965,1.694891159,0.08910437,1.298241282,0.712926696,0.877360292,1.174028254,2.338153941,0.368168346,0.219701505,1.061821342,0.827786237,0.944179356,0.532786237,0,3.02142124,1.810100825,355.56,,,
1969,25905.42957,0,8.768671125,498178.656,1737,0.890196902,1.981995518,0.115006693,1.48075966,0.813875917,0.979535895,1.436869522,2.544376678,0.435979554,0.322421248,1.107864884,0.825967484,0.941451225,0.530967484,0,2.977894425,1.778537072,374.97,,,
1970,27921.75008,0,8.67221,520368.6596,1792,0.59662,2.16982,0.21136,1.09671,0.75673,1.63223,1.96835,2.80079,0.54105,0.48275,1.04893,0.824166827,0.938750241,0.529166827,0,2.934367611,1.74697332,396.87,,,
1971,31326.40514,0,8.49431,554170.7497,1895.814,0.81486,2.21236,0.25097,1.11409,0.79534,1.40762,1.92934,2.869,0.57719,0.56764,1.11575,0.822384087,0.936076131,0.527384087,0,2.890840796,1.715409567,413.93,,,
1972,37201.80247,0,8.36416,616399.5685,2008.291,0.82462,2.19413,0.33373,1.12073,0.82065,1.42123,2.09692,2.82717,0.58246,0.82135,1.1612,0.820619086,0.933428629,0.525619086,0,2.847313982,1.683845815,427.47,,,
1973,42855.56534,0,8.52737,670066.2646,2124.438,0.84507,2.35823,0.32601,1.29102,0.96045,1.64076,2.5221,3.06101,0.65317,1.00945,1.20756,0.818871647,0.930807471,0.523871647,0,2.803787167,1.652282062,453.8,,,
1974,44571.73483,0,10.26324,676268.8086,2223.196,1.71581,3.23346,0.17406,2.18415,1.6388,2.58558,3.26427,4.11967,0.75068,1.76053,1.41609,0.817141595,0.928212393,0.522141595,0,2.760260353,1.62071831,503.86,,,
1975,43912.33143,0,11.74033,659994.6942,2284.847,1.86535,3.44618,0.22792,2.48945,2.12385,3.18671,3.91314,4.61696,1.01352,2.0793,1.4442,0.815428758,0.925643137,0.520428758,0,2.716733539,1.589154557,550.21,,,
1976,47415.56042,0,11.88014,691873.9875,2346.157,1.65018,3.58597,0.27372,2.65224,2.31832,3.48653,4.11741,4.83584,1.27447,2.20479,1.49483,0.813732963,0.923099445,0.518732963,0,2.673206724,1.557590805,581.85,,,
1977,48878.5382,0,12.31992,738867.2341,2425.197,1.76956,3.9687,0.54135,2.92043,2.7102,3.55529,5.04607,5.09141,1.61416,2.23221,1.58348,0.812054042,0.920581063,0.517054042,0,2.62967991,1.526027052,619.67,,,
1978,53993.14082,0,11.48642,747939.4264,2515.316,1.92279,4.29319,0.5328,3.02709,2.91819,3.75762,4.99672,5.41691,1.81529,2.07032,1.613,0.810391827,0.91808774,0.515391827,0,2.586153095,1.494463299,666.89,,,
1979,59072.31394,0,12.25626,786391.503,2635.571,2.45082,5.73257,0.91357,4.26591,4.08107,6.11977,5.1625,6.98417,2.40434,2.7916,1.92662,0.808746151,0.915619226,0.513746151,0,2.542626281,1.462899547,741.71,,,
1980,60906.14486,0,13.54924,754458.4801,2737.774,3.62562,9.01902,1.00804,6.56814,6.59267,5.45276,6.72808,9.67976,2.86166,3.92219,2.17362,0.807116849,0.913175274,0.512116849,0,2.499099466,1.431335794,842.44,,,
1981,62601.09214,0,13.6862,787807.4911,2810.107,4.48111,10.84113,1.09022,7.74992,7.6691,6.54567,8.55399,10.82614,3.1787,4.96807,2.61411,0.80550376,0.910755639,0.51050376,0,2.455572652,1.399772042,929.63,,,
1982,61128.64212,0,13.41162,746359.9831,2889.861,4.18838,10.91601,1.26963,7.50388,7.37997,6.58572,9.29234,10.33941,4.43439,5.13044,2.61192,0.803906721,0.908360081,0.508906721,0,2.412045837,1.368208289,986.89,,,
1983,64621.99082,0,11.99839,757809.5964,2968.925,4.16241,10.44176,1.31452,6.93372,6.71111,8.02725,9.75929,8.87093,4.99375,5.27608,2.5216,0.802325572,0.905988358,0.507325572,0,2.368519023,1.336644537,1018.67,,,
1984,71570.42436,0,11.07859,802483.4639,3067.135,4.58397,10.26704,1.28608,6.75753,6.41481,7.93848,8.9746,8.93889,5.09727,4.66066,2.59789,0.800760157,0.903640235,0.505760157,0,2.324992208,1.305080784,1062.48,,,
1985,76128.07524,0.65241,10.75879,842904.1719,3183.538,4.76372,9.99247,1.36169,6.90214,6.2,8.27732,10.26102,9.05882,4.92347,3.78536,2.55457,0.799210317,0.901315476,0.504210317,0.65241,2.281465394,1.273517032,1100.19,,,
1986,80621.95302,0.64781,9.14204,852825.6274,3308.262,4.32846,8.41165,1.42325,5.61336,4.25185,4.88324,9.82188,7.23587,4.1236,2.36029,2.10498,0.797675899,0.899013848,0.502675899,0.64781,2.237938579,1.241953279,1121.21,,,
1987,83970.74936,0.81666,9.05663,865662.9164,3437.103,3.20926,7.54635,1.32937,6.58338,4.36296,4.75939,9.94292,7.77156,4.09725,2.33123,1.86857,0.796156748,0.896735122,0.501156748,0.81666,2.194411765,1.210389527,1162.24,,,
1988,87979.95158,0.77341,8.6604,906309.9974,3535.183,3.28012,7.41323,1.42244,6.07967,4.14815,4.98532,9.30523,7.31049,4.45087,2.37023,1.88252,0.794652714,0.89447907,0.499652714,0.77341,2.15088495,1.178825774,1209.66,,,
1989,88762.23494,0.85251,8.87894,943088.9157,3622.185,2.84465,8.27853,1.38267,6.73214,4.8,5.5065,11.47032,8.18732,3.92316,2.75968,1.68268,0.793163644,0.892245466,0.498163644,0.85251,2.107358136,1.147262022,1268.09,,,
1990,89458.07032,0.71875,9.20501,948729.9556,3684.097,2.7141,9.31854,1.45084,7.84415,6.04444,7.22143,11.75152,9.21607,4.52257,3.31237,3.25869,0.791689391,0.890034087,0.496689391,0.71875,2.063831321,1.115698269,1336.44,,,
1991,89830.78866,0.70101,8.79066,957904.829,3788.576,3.33608,8.71117,1.43184,7.48034,5.02963,6.05692,12.24856,8.5711,4.58089,2.65257,3.12962,0.790229807,0.887844711,0.495229807,0.70101,2.361356813,1.084134517,1393.24,,,
1992,98968.7653,0.54713,8.36564,983786.8105,3915.74,2.98708,8.54477,1.39643,7.4419,4.71852,5.2169,10.70106,9.22673,4.56523,2.53185,2.92102,0.788784747,0.88567712,0.493784747,0.54713,2.29773881,1.052570764,1435.45,,,
1993,104049.3556,0.57735,8.2499,1003023.257,4065.44,2.94784,8.23693,1.37536,8.21905,4.68889,5.50782,10.59691,9.57653,4.85765,2.43024,3.08888,0.787354065,0.883531097,0.492354065,0.57735,2.234120807,1.021007012,1477.94,,,
1994,114121.2539,0.57023,7.53225,1055167.913,4245.089,2.96408,7.96236,1.39868,7.86719,4.23704,5.00054,11.88752,9.5805,4.63727,3.08407,2.90597,0.785937618,0.881406427,0.490937618,0.57023,2.170502805,1.121522556,1516.52,,,
1995,122797.2298,0.48909,6.99786,1086711.178,4432.499,3.2895,8.36173,1.4184,7.81787,4.34074,5.07991,11.38708,9.64027,4.63229,2.81586,2.62027,0.784535265,0.879302898,0.489535265,0.48909,2.106884802,1.076447368,1559.13,,,
1996,132497.8269,0.48986,7.12708,1151353.612,4586.94,3.54877,9.28526,1.46508,8.72204,5.11111,5.44844,11.93391,10.55637,4.87987,3.31911,3.09602,0.783146866,0.877220299,0.488146866,0.48986,2.043266799,1.03137218,1604.81,,,
1997,141718,0.49209,6.7189,1187345.927,4736.99,3.57196,9.3851,1.44558,8.34959,4.8963,5.19259,13.32097,10.58862,4.93134,2.87074,3.16564,0.781772282,0.875158423,0.486772282,0.49209,2.508365985,0.986296992,1642.37,,,
1998,155020,0.46892,6.04024,1244252.893,4883.342,3.56648,8.11212,1.35459,7.39685,3.54815,5.07746,12.25644,8.88833,4.92151,2.16046,3.70396,0.780411375,0.873117062,0.485411375,0.46892,2.392215186,0.941221805,1667.82,,,
1999,168321,0.45184,5.97686,1288996.444,5023.823,3.19221,8.81101,1.35098,8.10188,4.43704,5.99526,12.09551,9.66379,4.94796,3.0212,3.77925,0.779064009,0.871096014,0.484064009,0.45184,2.276064386,0.896146617,1704.35,,,
2000,179260,0.44096,6.5805,1333438.288,5166.304,3.16836,10.86609,1.26164,10.56363,7.08148,9.3218,15.10155,12.18081,5.95279,5.24881,5.67762,0.77773005,0.869095075,0.48273005,0.44096,2.159913587,0.851071429,1761.96,,,
2001,185979,0.46104,6.26553,1336265.085,5303.869,3.45903,11.00753,1.2723,9.67171,5.93333,8.34207,17.14918,11.62457,6.17686,5.31665,4.80501,0.776409364,0.867114046,0.481409364,0.46104,2.043762787,0.87,1811.82,,,
2002,190389,0.42172,5.90213,1348219.941,5451.472,3.65001,10.71632,1.26986,9.26,5.54074,8.53593,15.65998,10.70968,5.47989,4.07752,4.43486,0.775101819,0.865152728,0.480101819,0.42172,1.927611988,0.812142857,1840.63,,,
2003,200110,0.4194,6.28508,1365544.042,5590.82,4.01122,12.42195,1.282,11.00002,6.6963,8.79145,15.8666,13.51872,6.38679,4.673585455,5.34865,0.773807284,0.863210926,0.478807284,0.4194,2.107203219,0.754285714,1882.41,,,
2004,207587,0.44546,6.88735,1431808.905,5758.692,4.55888,15.13431,1.30544,13.726,9.53333,11.0767,17.89831,15.57584,6.77772,5.29053,6.02353,0.77252563,0.861288445,0.47752563,0.44546,1.927565392,0.696428571,1932.86,,,
2005,222968,0.54917,7.48914,1478787.241,5973.97,4.81354,18.5622,1.42469,17.71108,13.14074,13.30562,21.16162,18.64967,8.83425,7.48016,7.84449,0.771256729,0.859385094,0.476256729,0.54917,1.747927565,0.638571429,1998.38,,,
2006,239013,0.62559,7.66062,1530533.748,6190.987,5.18756,22.31458,1.45112,19.31112,15.26667,20.12447,24.25885,20.56535,8.12211,8.77547,8.96624,0.770000454,0.85750068,0.475000454,0.62559,1.568289738,0.580714286,2063.13,,,
2007,245228,0.56602,7.74675,1571433.679,6360.238,5.48363,23.70404,1.60882,19.97054,16.23704,22.96946,26.91435,21.88925,8.44377,10.03864,10.46188,0.768756678,0.855635018,0.473756678,0.56602,1.388651911,0.522857143,2121.93,,,
2008,241620,0.5565,8.63542,1545075.838,6499.207,5.64993,27.23177,1.76143,25.55,21.37037,28.46026,31.82467,25.33844,9.74765,5.179769351,10.68754,0.767525279,0.853787918,0.472525279,0.5565,1.209014085,0.465,2202.56334,,,
2009,230854,0.59241,6.90255,1454313.457,6587.653,5.86757,20.31775,1.82553,16.14267,12.4963,21.80639,27.59192,18.27942,6.38089,6.127428225,7.83257,0.766306132,0.851959198,0.471306132,0.59241,1.2,0.45,2193.753087,,,
2010,284308.8151,0.59241,6.370342,1703874.159,6674.53,6.152035484,17.54865935,1.876386745,20.59003,12.94425838,23.57960162,28.63917303,18.63021,7.896043,6.373640504,8.215486741,0.765099116,0.850148674,0.470099116,0.59241,0.811267606,0.385714286,,,,
2011,297669.9285,0.59241,6.206888,1753342.75,6779.358,6.450289413,18.15335998,1.91392221,19.28403,13.40010218,25.49700515,29.7059227,18.981,7.51506,6.624703823,8.617120671,0.76390411,0.848356164,0.46890411,0.59241,0.507042254,0.192857143,,,,
2012,312530.6448,0.59241,6.156687,1804247.563,6916.645,6.763009613,18.76831208,1.951457674,20.36719,13.8638416,27.57029707,30.79218896,19.3318,7.870536,6.880616887,9.038398485,0.762720994,0.846581491,0.467720994,0.59241,0.371830986,0.192857143,,,,
2013,328785.7922,0.59241,6.141269,1856630.295,7079.158,7.090883891,19.39349848,1.988993139,20.45822,14.33546189,29.81220877,31.89794982,19.68259,7.939972,7.141379697,9.480262445,0.76154965,0.844824476,0.46654965,0.59241,0.338028169,0.192857143,,,,
2014,346066.9676,0.59241,6.136534,1910533.856,7251.537,7.434653686,20.02893664,2.026528603,20.96125,14.81497036,32.23642421,33.02322767,20.03338,8.120505,7.406992253,9.943727993,0.760389962,0.843084943,0.465389962,0.59241,0.253521127,0.160714286,,,,
2015,363917.5518,0.59241,6.135079,1966002.399,7417.069,7.795097419,20.6746088,2.064064068,21.29318,15.30237483,34.85776763,34.16799972,20.38417,8.257889,7.677454556,10.42986161,0.759241813,0.841362719,0.464241813,0.59241,0.202816901,0.160714286,,,,
2016,382062.7701,0.59241,6.134633,2023081.361,7566.548,8.173007858,21.33053301,2.101599533,21.69617,15.79765979,37.69226873,35.33228915,20.73497,8.412031,7.952766604,10.9397506,0.758105088,0.839657632,0.463105088,0.59241,0.169014085,0.144642857,,,,
2017,400499.2093,0.59241,6.134495,2081817.497,7700.175,8.569239595,21.99669094,2.139134997,22.06965,16.300841,40.75726068,36.51607238,21.08576,8.559665,8.23292266,11.47457823,0.756979673,0.83796951,0.461979673,0.59241,0.169014085,0.128571429,,,,
2018,419462.4735,0.59241,6.134453,2142258.919,7825.339,8.984689841,22.67310121,2.176670462,22.45539,16.81190245,44.07144204,37.71937339,21.43655,8.709826,8.517934103,12.03554073,0.755865457,0.836298185,0.460865457,0.59241,0.152112676,0.128571429,,,,
2019,439284.9414,0.59241,6.13444,2204455.138,7951.418,9.420272349,23.35974491,2.214205926,22.83603,17.33085209,47.65516411,38.94216781,21.78734,8.859006,8.807795291,12.62392723,0.754762327,0.834643491,0.459762327,0.59241,0.152112676,0.128571429,,,,
2020,460241.8081,0.59241,6.134436,2268457.1,8085.078,9.876972128,24.05663142,2.251741391,23.21879,17.85769835,51.53030082,40.18448041,22.13814,9.008567,9.102506225,13.24109168,0.753670174,0.833005261,0.458670174,0.59241,0.143661972,0.125357143,,,,
2021,482452.4142,0.59241,6.134435,2334317.231,8227.907,10.35582331,24.7637707,2.289276855,23.60067,18.39242447,55.72054891,41.44628602,22.48893,9.15798,9.402066906,13.88841445,0.752588888,0.831383331,0.457588888,0.59241,0.136901408,0.125357143,,,,
2022,505874.3514,0.59241,6.134435,2402089.48,8376.951,10.85787909,25.48114297,2.32681232,23.98292,18.93503878,60.25153203,42.7276102,22.83972,9.30745,9.706477332,14.56738317,0.75151836,0.82977754,0.45651836,0.59241,0.130140845,0.125357143,,,,
2023,530373.9235,0.59241,6.134435,2471829.362,8527.167,11.38428619,26.2087683,2.364347785,24.36501,19.48555009,65.15089233,44.02842699,23.19051,9.456899,10.01573751,15.27956019,0.750458485,0.828187727,0.455458485,0.59241,0.123380282,0.125357143,,,,
2024,555825.3563,0.59241,6.134435,2543594.001,8674.222,11.93620239,26.94662635,2.401883249,24.74717,20.04394089,70.44871512,45.34876275,23.5413,9.606355,10.32984742,16.02653843,0.749409155,0.826613733,0.454409155,0.59241,0.116619718,0.122142857,,,,
2025,582187.1304,0.59241,6.134435,2617442.184,8816.283,12.51487579,27.69473773,2.439418714,25.1293,20.61022894,76.17733671,46.68859074,23.8921,9.755809,10.64880709,16.8100345,0.748370267,0.8250554,0.453370267,0.59241,0.114929577,0.122142857,,,,
2026,609524.8847,0.59241,6.134435,2693434.402,8954.228,13.1216167,28.45308154,2.476954178,25.51144,21.18439623,82.37178803,48.04793808,24.24289,9.905264,10.9726165,17.63185131,0.747341716,0.823512573,0.452341716,0.59241,0.114929577,0.122142857,,,,
2027,637981.8298,0.59241,6.134435,2771632.903,9090.584,13.75775961,29.22167898,2.514489643,25.89358,21.7664517,89.06994857,49.42677725,24.59368,10.054718,11.30127566,18.49382699,0.746323398,0.821985098,0.451323398,0.59241,0.113802817,0.118928571,,,,
2028,667720.297,0.59241,6.134435,2852101.741,9227.977,14.42474306,30.00050856,2.552025107,26.27572,22.3564048,96.31277805,50.82513618,24.94447,10.204172,11.63477774,19.39794243,0.745315214,0.820472821,0.450315214,0.59241,0.112957746,0.118928571,,,,
2029,698866.7902,0.59241,6.134435,2934906.831,9367.914,15.12407734,30.78958095,2.589560572,26.65786,22.95423676,104.1444627,52.24298654,25.29527,10.353627,11.97313629,20.34627808,0.744317061,0.818975591,0.449317061,0.59241,0.112112676,0.118928571,,,,
2030,731485.8197,0.59241,6.134435,3020116.002,9510.382,15.8573006,31.5889074,2.627096037,27.04,23.5599569,112.6130944,53.68035705,25.64606,10.503081,12.31634459,21.34095507,0.743328839,0.817493259,0.448328839,0.59241,0.111267606,0.118928571,,,,
2031,765587.9439,0.59241,6.134435,3107799.052,9654.223,16.62607091,32.39846556,2.664631501,27.42214,24.17357506,121.7703629,55.1372186,25.99685,10.652535,12.66440263,22.38428164,0.742350451,0.816025677,0.447350451,0.59241,0.110422535,0.115714286,,,,
2032,801162.4531,0.59241,6.134435,3198027.804,9797.943,17.43212904,33.21827806,2.702166966,27.80428,24.79507169,131.6722657,56.61360069,26.34764,10.80199,13.01731042,23.47859136,0.741381798,0.814572697,0.446381798,0.59241,0.109577465,0.115714286,,,,
2033,838214.167,0.59241,6.134435,3290876.169,9940.469,18.27724786,34.04832199,2.73970243,28.18642,25.42446658,142.3793536,58.10947342,26.69844,10.951444,13.37506795,24.62639906,0.740422783,0.813134175,0.445422783,0.59241,0.108732394,0.115714286,,,,
2034,876787.2107,0.59241,6.134435,3386420.2,10081.535,19.16333849,34.88862054,2.777237895,28.56856,26.0617397,153.9569472,59.6248671,27.04923,11.100898,13.73767523,25.83034594,0.739473311,0.811709966,0.444473311,0.59241,0.107887324,0.115714286,,,,
2035,916966.8601,0.59241,6.134435,3484738.163,10221.601,20.09240735,35.73915024,2.81477336,28.9507,26.70690101,166.4761407,61.15976666,27.40002,11.250353,14.10513226,27.09312485,0.738533285,0.810299928,0.443533285,0.59241,0.107042254,0.115714286,,,,
2036,958863.4951,0.59241,6.134435,3585910.591,10361.466,21.06649787,36.59993484,2.852308824,29.33283,27.35996096,180.0133473,62.71415628,27.75081,11.399807,14.47743904,28.41763775,0.737602614,0.80890392,0.442602614,0.59241,0.106197183,0.115714286,,,,
2037,1002589.495,0.59241,6.134435,3690020.359,10501.823,22.08781281,37.47095031,2.889844289,29.71497,28.02089875,194.6513481,64.28806742,28.1016,11.549262,14.85459556,29.80693248,0.736681202,0.807521803,0.441681202,0.59241,0.105352113,0.115714286,,,,
2038,1048241.262,0.59241,6.134435,3797152.747,10642.974,23.1586648,38.35220858,2.927379753,30.09711,28.68972473,210.4796555,65.88146823,28.4524,11.698716,15.23660182,31.26411643,0.735768959,0.806153439,0.440768959,0.59241,0.104507042,0.1125,,,,
2039,1095893.088,0.59241,6.134435,3907395.51,10784.785,24.2814091,39.2437222,2.964915218,30.47925,29.36644972,227.5950606,67.49439096,28.80319,11.84817,15.62344993,32.79253834,0.734865793,0.804798689,0.439865793,0.59241,0.103661972,0.1125,,,,
2040,1145604.238,0.59241,6.134435,4020838.952,10926.856,25.4586101,40.14546624,3.002450682,30.86139,30.05105219,246.1019793,69.12680295,29.15398,11.997625,16.01515559,34.39571525,0.733971613,0.80345742,0.438971613,0.59241,0.102816901,0.1125,,,,
2041,1197433.006,0.59241,6.134435,4137575.998,11068.769,26.69285696,41.05746591,3.039986147,31.24353,30.74355393,266.1140563,70.77873726,29.50477,12.147079,16.41171099,36.07723294,0.733086331,0.802129496,0.438086331,0.59241,0.101971831,0.1125,,,,
2042,1251449.731,0.59241,6.134435,4257702.272,11210.279,27.98694076,41.97969572,3.077521612,31.62567,31.44393289,287.7534393,72.45016044,29.85557,12.296533,16.81311614,37.84095569,0.732209857,0.800814786,0.437209857,0.59241,0.101126761,0.1125,,,,
2043,1307743.678,0.59241,6.134435,4381316.173,11351.385,29.34379177,42.91218145,3.115057076,32.00781,32.15220002,311.1524547,74.14110633,30.20636,12.445988,17.21937104,39.69094198,0.731342105,0.799513157,0.436342105,0.59241,0.10028169,0.1125,,,,
2044,1366421.206,0.59241,6.134435,4508518.957,11492.268,30.7663943,43.85489702,3.152592541,32.38995,32.86836681,336.454189,75.8515407,30.55715,12.595442,17.63047569,41.63132963,0.730482986,0.79822448,0.435482986,0.59241,0.09943662,0.1125,,,,
2045,1427598.553,0.59241,6.134435,4639414.821,11633.167,32.25796534,44.8078688,3.190128005,32.77209,33.59241044,363.8130002,77.58149818,30.90794,12.744896,18.04643008,43.66657783,0.729632416,0.796948625,0.434632416,0.59241,0.098591549,0.109285714,,,,
2046,1491392.948,0.59241,6.134435,4774110.985,11774.254,33.82188236,45.77107015,3.22766347,33.15423,34.32434226,393.3968898,79.33094373,31.25874,12.894351,18.46723421,45.80136985,0.72879031,0.795685465,0.43379031,0.59241,0.097746479,0.109285714,,,,
2047,1557917.117,0.59241,6.134435,4912717.784,11915.573,35.46158507,46.7445143,3.265198934,33.53636,35.06417409,425.3864288,81.09991279,31.60953,13.043805,18.89288809,48.04048054,0.727956582,0.794434874,0.432956582,0.59241,0.096901408,0.109285714,,,,
2048,1627279.011,0.59241,6.134435,5055348.754,12057.053,37.18078145,47.72821509,3.302734399,33.9185,35.8118824,459.9772354,82.88836953,31.96032,13.19326,19.32339172,50.38910595,0.727131151,0.793196726,0.432131151,0.59241,0.096056338,0.109285714,,,,
2049,1699585.688,0.59241,6.134435,5202120.731,12198.568,38.98336435,48.72214502,3.340269864,34.30064,36.56749098,497.3808349,84.69635018,32.31111,13.342714,19.75873621,52.85249921,0.726313932,0.791970898,0.431313932,0.59241,0.095211268,0.109285714,,,,
2050,1774948.778,0.59241,6.134435,5353153.94,12340.005,40.87329844,49.72633186,3.377805328,34.68278,37.33097577,537.8259528,86.52381811,32.6619,13.492168,20.19893923,55.43632141,0.725504845,0.790757267,0.430504845,0.59241,0.094366197,0.109285714,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
