,GDPRX,NUETD,TEGDS,TETCB,TPOPP,ARTCD,AVTCD,CLTCD,DFTCD,JFTCD,KSTCD,LGTCD,MGTCD,NGTCD,RFTCD,WWTCD,BMTCB,GETCB,HYTCB,NUETD.1,SOTCB,WYTCB,GDPrate
1960,190718.2937,0.110032027,8.75183584,3451675.175,15870,0.264419525,0.946132478,0.35415,0.467118,0.167738,0.424926667,0.607954,1.967676,0.17706,0.150746667,1.030908,0.843009967,0.96701495,0.548009967,0.110032027,3.369635756,2.062610845,302.3
1961,211732.4508,0.11625042,8.355924515,3610889.845,16497,0.289763278,1.03047517,0.36443,0.545181,0.222131,0.489746667,0.721208,2.046857,0.216375,0.173391667,1.064889,0.841039735,0.964059602,0.546039735,0.11625042,3.326108941,2.031047092,305.53
1962,230229.247,0.122677859,7.989643736,3726125.494,17072,0.317134292,1.120812953,0.37471,0.623244,0.276524,0.554566667,0.834462,2.126038,0.25569,0.196036667,1.09887,0.839089107,0.96113366,0.544089107,0.122677859,3.282582127,1.99948334,309.2
1963,256168.6539,0.129310905,7.653036707,3932004.855,17668,0.3466527,1.217415369,0.38499,0.701307,0.330917,0.619386667,0.947716,2.205219,0.295005,0.218681667,1.132851,0.837157888,0.958236832,0.542157888,0.129310905,3.239055312,1.967919587,313.03
1964,287424.1103,0.136145274,7.346173076,4228588.588,18151,0.378444556,1.320548778,0.39527,0.77937,0.38531,0.684206667,1.06097,2.2844,0.33432,0.241326667,1.166832,0.835245885,0.955368827,0.540245885,0.136145274,3.195528498,1.936355835,317.04
1965,309784.2643,0.143175835,7.069125174,4394131.242,18585,0.412648639,1.430474579,0.40555,0.857433,0.439703,0.749026667,1.174224,2.363581,0.373635,0.263971667,1.200813,0.833352907,0.95252936,0.538352907,0.143175835,3.152001683,1.904792082,322.08
1966,336158.641,0.150396612,6.821991786,4657941.9,18858,0.449436232,1.547447317,0.41583,0.935496,0.494096,0.813846667,1.287478,2.442762,0.41295,0.286616667,1.234794,0.831478764,0.949718146,0.536478764,0.150396612,3.108474869,1.87322833,331.77
1967,359587.8489,0.157800857,6.605128432,4853769.753,19176,0.489062567,1.671712737,0.42611,1.013559,0.548489,0.878666667,1.400732,2.521943,0.452265,0.309261667,1.268775,0.829623269,0.946934904,0.534623269,0.157800857,3.064948054,1.841664577,341
1968,387066.5616,0.165381328,6.420089784,5129456.632,19394,0.531987441,1.803506233,0.43639,1.091622,0.602882,0.943486667,1.513986,2.601124,0.49158,0.331906667,1.302756,0.827786237,0.944179356,0.532786237,0.165381328,3.02142124,1.810100825,355.56
1969,415829.8738,0.173131281,6.272553364,5371611.427,19711,0.579129576,1.943054758,0.44667,1.169685,0.657275,1.008306667,1.62724,2.680305,0.537,0.35443,1.336737,0.825967484,0.941451225,0.530967484,0.173131281,2.977894425,1.778537072,374.97
1970,436888.8279,0.19481,6.26216,5514846.233,20007,0.48688,2.16982,0.45695,1.25946,0.7291,1.07587,1.77615,2.80053,0.558,0.37744,1.3908,0.824166827,0.938750241,0.529166827,0.19481,2.934367611,1.74697332,396.87
1971,468872.1378,0.19499,6.4045,5764444.554,20345.939,0.64175,2.21236,0.46723,1.3681,0.7663,1.13246,1.83449,2.84297,0.61563,0.59972,1.40155,0.822384087,0.936076131,0.527384087,0.19499,2.890840796,1.715409567,413.93
1972,488011.1662,0.18678,6.15775,5891784.323,20585.469,0.64419,2.19413,0.51658,1.28416,0.76768,1.20551,1.89855,2.78611,0.64826,0.7431,1.41576,0.820619086,0.933428629,0.525619086,0.18678,2.847313982,1.683845815,427.47
1973,513517.9452,0.17737,6.35999,6069035.525,20868.728,0.69217,2.35823,0.60664,1.54765,0.90995,1.44174,2.13231,3.08342,0.72371,0.90619,1.44762,0.818871647,0.930807471,0.523871647,0.17737,2.803787167,1.652282062,453.8
1974,504507.6973,0.12006,7.91455,5839381.124,21173.865,1.46607,3.23346,1.28889,2.6892,1.56733,2.58654,2.88264,4.47023,0.91555,1.93303,1.53767,0.817141595,0.928212393,0.522141595,0.12006,2.760260353,1.62071831,503.86
1975,537087.5749,0.21481,8.39179,6053607.969,21537.849,1.6159,3.44618,1.32289,2.96765,2.0416,2.76459,3.04065,4.83815,1.24525,2.38075,1.55348,0.815428758,0.925643137,0.520428758,0.21481,2.716733539,1.589154557,550.21
1976,566166.1465,0.28273,8.44896,6204103.239,21935.909,1.60089,3.58597,1.429,3.09755,2.3254,3.08564,3.23639,5.03572,1.5521,2.24598,1.57475,0.813732963,0.923099445,0.518732963,0.28273,2.673206724,1.557590805,581.85
1977,599975.9258,0.27902,8.40175,6383598.968,22352.396,1.69957,3.9687,1.47009,3.11841,2.61817,3.2709,3.91351,5.32735,1.90788,2.29171,1.62288,0.812054042,0.920581063,0.517054042,0.27902,2.62967991,1.526027052,619.67
1978,641268.3726,0.28979,8.01473,6497610.435,22835.958,1.8141,4.29319,1.58599,3.12658,2.86177,3.42765,4.33871,5.47818,2.02801,2.43334,1.65106,0.810391827,0.91808774,0.515391827,0.28979,2.586153095,1.494463299,666.89
1979,666630.6781,0.37256,9.05826,6757992.284,23256.88,2.71572,5.73257,1.69215,4.52947,3.7842,4.41185,4.72971,7.46853,2.47408,3.00558,1.87935,0.808746151,0.915619226,0.513746151,0.37256,2.542626281,1.462899547,741.71
1980,686706.6951,0.48571,11.00729,6572758.373,23800.8,3.77922,9.01902,1.91366,6.62076,6.20888,6.43914,5.9805,10.19354,3.54484,4.48791,2.73847,0.807116849,0.913175274,0.512116849,0.48571,2.499099466,1.431335794,842.44
1981,709313.003,0.85316,10.99527,6365322.314,24285.933,4.5909,10.84113,2.15921,7.64389,7.55589,7.79841,6.47369,11.32538,3.8808,5.93616,3.31842,0.80550376,0.910755639,0.51050376,0.85316,2.455572652,1.399772042,929.63
1982,709514.9511,0.76522,10.40602,6100430.351,24820.009,3.98162,10.91601,2.19068,7.40839,7.37482,7.171,7.82379,10.82261,4.70218,6.03492,3.19277,0.803906721,0.908360081,0.508906721,0.76522,2.412045837,1.368208289,986.89
1983,734901.0152,1.06709,8.8827,6112530.508,25360.026,4.40364,10.44176,2.36574,6.88008,6.60741,7.86081,8.50385,8.95888,5.30534,5.56501,3.18475,0.802325572,0.905988358,0.507325572,1.06709,2.368519023,1.336644537,1018.67
1984,793905.4983,1.11116,8.41184,6557050.673,25844.393,4.55881,10.26704,2.39752,6.66747,6.28148,7.46537,7.68297,8.73901,5.42478,5.31277,3.38122,0.800760157,0.903640235,0.505760157,1.11116,2.324992208,1.305080784,1062.48
1985,834568.3422,0.95629,7.95772,6624671.518,26441.109,4.77696,9.99247,2.2625,6.6711,6.00741,8.87244,9.77097,8.68304,5.0137,4.75429,3.30245,0.799210317,0.901315476,0.504210317,0.95629,2.281465394,1.273517032,1100.19
1986,866143.5216,0.9667,6.33639,6529625.049,27102.237,5.07644,8.41165,2.25928,5.32959,3.99259,4.90587,9.83338,6.68418,4.01618,2.70943,3.12512,0.797675899,0.899013848,0.502675899,0.9667,2.237938579,1.241953279,1121.21
1987,919576.613,0.98528,6.16861,6966525.735,27777.158,5.35753,7.54635,2.09185,5.95868,4.03704,4.76051,9.76527,6.94803,3.77062,2.61278,3.11927,0.796156748,0.896735122,0.501156748,0.98528,2.194411765,1.210389527,1162.24
1988,971643.5849,0.89569,5.93976,7171978,28464.249,4.53416,7.41323,1.94129,5.84592,3.84444,5.05694,9.64622,7.07596,4.04622,2.31289,3.16311,0.794652714,0.89447907,0.499652714,0.89569,2.15088495,1.178825774,1209.66
1989,1008338.743,0.84845,6.05297,7448542.852,29218.164,3.09698,8.27853,1.88003,6.54751,4.5037,5.39877,9.02081,7.65962,4.00423,2.67776,1.69757,0.793163644,0.892245466,0.498163644,0.84845,2.107358136,1.147262022,1268.09
1990,1037894.441,0.72147,6.26599,7548171.431,29959.515,3.13119,9.31854,1.89143,7.49727,5.76296,7.37579,10.42487,8.57243,4.19696,3.66041,1.383,0.791689391,0.890034087,0.496689391,0.72147,2.063831321,1.115698269,1336.44
1991,1023009.678,0.66993,6.01739,7388813.414,30470.736,3.18271,8.71117,1.82203,7.35387,4.8,5.94681,11.15601,8.17933,4.34303,2.57067,1.43816,0.790229807,0.887844711,0.495229807,0.66993,2.361356813,1.084134517,1393.24
1992,1021310.938,0.55196,6.14422,7369531.972,30974.659,2.74171,8.54477,1.6746,7.57576,4.53333,5.20079,10.93622,9.19475,3.97345,1.8602,1.2962,0.788784747,0.88567712,0.493784747,0.55196,2.29773881,1.052570764,1435.45
1993,1017236.338,0.438,5.8744,7217784.052,31274.928,2.6019,8.23693,1.68181,7.77833,4.5037,5.53982,11.56123,9.08081,4.02495,2.03074,1.11381,0.787354065,0.883531097,0.492354065,0.438,2.234120807,1.021007012,1477.94
1994,1036373.891,0.46513,5.82839,7356964.239,31484.435,2.94621,7.96236,1.6973,7.58707,4.02963,5.00389,11.53777,9.10669,4.12515,2.03325,2.47788,0.785937618,0.881406427,0.490937618,0.46513,2.170502805,1.121522556,1516.52
1995,1077404.993,0.42518,5.58741,7374029.634,31696.582,3.08842,8.36173,1.66283,7.77583,4.14815,5.06086,11.22011,9.25369,4.22244,2.14021,2.53332,0.784535265,0.879302898,0.489535265,0.42518,2.106884802,1.076447368,1559.13
1996,1120586.248,0.43932,5.46207,7471199.1,32018.834,3.4139,9.28526,1.65953,8.62142,4.95556,5.41802,11.52488,10.02492,4.31968,2.09874,2.13088,0.783146866,0.877220299,0.488146866,0.43932,2.043266799,1.03137218,1604.81
1997,1187930,0.45338,5.32175,7579562.292,32486.01,3.50972,9.3851,1.70498,8.39825,4.71111,5.17802,11.60451,10.2583,4.68633,3.34429,1.4723,0.781772282,0.875158423,0.486772282,0.45338,2.508365985,0.986296992,1642.37
1998,1268475,0.45416,4.66202,7839239.703,32987.675,3.67685,8.11212,1.67104,7.20645,3.37778,5.69061,11.02296,8.99309,4.39139,2.11141,1.44288,0.780411375,0.873117062,0.485411375,0.45416,2.392215186,0.941221805,1667.82
1999,1367844,0.41913,4.60847,7838876.822,33499.204,3.59737,8.81101,1.63076,8.2831,4.25926,5.71069,11.00949,10.50201,4.24743,4.24975,1.32147,0.779064009,0.871096014,0.484064009,0.41913,2.276064386,0.896146617,1704.35
2000,1470394,0.44942,5.17721,7987683.987,33994.383,3.43389,10.86609,1.56991,10.42373,6.91111,9.58081,14.21758,12.52745,6.53994,6.24233,2.13427,0.77773005,0.869095075,0.48273005,0.44942,2.159913587,0.851071429,1761.96
2001,1472352,0.43324,5.46262,7995196.742,34481.753,3.91113,11.00753,1.45675,9.52289,5.82963,8.80739,15.59665,12.2453,8.78344,5.30205,2.39095,0.776409364,0.867114046,0.481409364,0.43324,2.043762787,0.87,1811.82
2002,1501782,0.48926,5.02818,8035112.732,34867.773,4.05825,10.71632,1.71416,9.21351,5.4,9.04164,13.72162,11.16935,5.0988,5.7783,2.61792,0.775101819,0.865152728,0.480101819,0.48926,1.927611988,0.812142857,1840.63
2003,1548899,0.46383,5.54255,8208142.326,35236.589,4.50126,12.42195,1.70874,10.84598,6.54815,8.97553,16.00062,13.75264,7.03827,5.89782,3.06534,0.773807284,0.863210926,0.478807284,0.46383,2.107203219,0.754285714,1882.41
2004,1622000,0.47161,5.74523,8335521.14,35538.256,4.74377,15.13431,1.81688,13.64358,9.32593,11.4745,18.48498,16.2443,7.60733,6.30627,3.55597,0.77252563,0.861288445,0.47752563,0.47161,1.927565392,0.696428571,1932.86
2005,1691991,0.44312,6.15163,8328202.618,35770.688,5.03796,18.5622,1.9109,17.5304,12.85185,13.68895,22.70487,18.867,9.57478,5.63289,4.07549,0.771256729,0.859385094,0.476256729,0.44312,1.747927565,0.638571429,1998.38
2006,1747816,0.44535,6.44042,8405214.664,35947.461,5.69514,22.31458,2.15925,19.49236,15.03704,21.80409,25.33679,21.33001,8.83287,7.28743,4.38023,0.770000454,0.85750068,0.475000454,0.44535,1.568289738,0.580714286,2063.13
2007,1775105,0.47117,6.44681,8450611.85,36185.908,7.37322,23.70404,2.47016,20.43465,16.18519,23.84078,27.82743,22.99176,8.69464,8.20151,6.83142,0.768756678,0.855635018,0.473756678,0.47117,1.388651911,0.522857143,2121.93
2008,1779234,0.4765,7.02544,8297581.965,36538.008,7.52313,27.23177,2.6734,26.19207,22.24444,29.77578,31.66759,26.37677,10.05801,16.39235,4.03978,0.767525279,0.853787918,0.472525279,0.4765,1.209014085,0.465,2202.56334
2009,1736901,0.5297,5.55661,8005515.051,36887.615,7.52921,20.31775,2.66232,17.08491,12.4963,24.88314,25.45096,20.05826,6.37809,12.5719,3.9352,0.766306132,0.851959198,0.471306132,0.5297,1.2,0.45,2193.753087
2010,1849881.919,0.5297,5.983032632,9036799.213,37292.96567,8.458839591,20.71309,1.009966,20.83851,3.598795,26.52526,25.95796,18.71967294,8.028557,13.75967207,3.935201155,0.765099116,0.850148674,0.470099116,0.5297,0.811267606,0.385714286,
2011,1905661.146,0.5297,6.012478947,9155411.944,37700.17442,8.801067316,21.10843,1.048546,20.03996,3.66258,23.56135,26.46496,19.5817498,8.187497,15.05966533,3.935201155,0.76390411,0.848356164,0.46890411,0.5297,0.507042254,0.192857143,
2012,1965043.131,0.5297,6.041925263,9275581.529,38136.6103,9.613063935,21.50377,1.088874,20.85267,3.726365,25.25508,26.97196,20.48352696,8.346438,16.48248002,3.935201155,0.762720994,0.846581491,0.467720994,0.5297,0.371830986,0.192857143,
2013,2026153.563,0.5297,6.071371579,9397328.403,38576.55548,10.18195463,21.89911,1.129593,21.09506,3.79015,24.28719,27.47896,21.42683268,8.505378,18.03972012,3.935201155,0.76154965,0.844824476,0.46654965,0.5297,0.338028169,0.192857143,
2014,2090107.675,0.5297,6.100817895,9520673.268,39033.28412,10.99652155,22.29445,1.170399,21.53932,3.853934,24.84029,27.98596,22.41357944,8.664319,19.74408593,3.935201155,0.760389962,0.843084943,0.465389962,0.5297,0.253521127,0.160714286,
2015,2156015.572,0.5297,6.130264211,9645637.1,39494.6303,11.73080162,22.68978,1.211225,21.91213,3.917719,24.52422,28.49296,23.44574433,8.823259,21.60947768,3.935201155,0.759241813,0.841362719,0.464241813,0.5297,0.202816901,0.160714286,
2016,2224436.815,0.5297,6.159710526,9772241.148,39966.62461,12.61210415,23.08512,1.252056,22.31023,3.981504,24.70484,28.99996,24.52546585,8.9822,23.65110886,3.935201155,0.758105088,0.839657632,0.463105088,0.5297,0.169014085,0.144642857,
2017,2295029.408,0.5297,6.189156842,9900506.94,40444.25964,13.49283765,23.48046,1.292887,22.69937,4.045289,24.60163,29.50696,25.65491061,9.14114,25.8856303,3.935201155,0.756979673,0.83796951,0.461979673,0.5297,0.169014085,0.128571429,
2018,2368111.661,0.5297,6.218603158,10030456.29,40930.46785,14.48025504,23.8758,1.333719,23.09169,4.109073,24.66061,30.01396,26.83636847,9.300081,28.33126599,3.935201155,0.755865457,0.836298185,0.460865457,0.5297,0.152112676,0.128571429,
2019,2443484.359,0.5297,6.248049474,10162111.29,41422.10688,15.50922487,24.27114,1.37455,23.48288,4.172858,24.62691,30.52096,28.07223473,9.459021,31.00793068,3.935201155,0.754762327,0.834643491,0.459762327,0.5297,0.152112676,0.128571429,
2020,2521331.905,0.5297,6.277495789,10295494.33,41920.48967,16.6321239,24.66648,1.415382,23.87447,4.236643,24.64617,31.02796,29.36501501,9.617962,33.93751365,3.935201155,0.753670174,0.833005261,0.458670174,0.5297,0.143661972,0.125357143,
2021,2601698.76,0.5297,6.306942105,10430628.1,42425.29315,17.82218447,25.06182,1.456213,24.26593,4.300428,24.63516,31.53496,30.71729958,9.776902,37.14387926,3.935201155,0.752588888,0.831383331,0.457588888,0.5297,0.136901408,0.125357143,
2022,2684667.68,0.5297,6.336388421,10567535.56,42936.60481,19.10698548,25.45716,1.497045,24.65743,4.364212,24.64145,32.04196,32.13189016,9.935843,40.65317749,3.935201155,0.75151836,0.82977754,0.45651836,0.5297,0.130140845,0.125357143,
2023,2770282.504,0.5297,6.365834737,10706240.01,43454.07881,20.47791524,25.8525,1.537877,25.04891,4.427997,24.63785,32.54896,33.61162536,10.094783,44.49402898,3.935201155,0.750458485,0.828187727,0.455458485,0.5297,0.123380282,0.125357143,
2024,2858627.611,0.5297,6.395281053,10846765.03,43977.78944,21.9516213,26.24784,1.578708,25.4404,4.491782,24.63991,33.05596,35.1595052,10.253724,48.69775839,3.935201155,0.749409155,0.826613733,0.454409155,0.5297,0.116619718,0.122142857,
2025,2949790.066,0.5297,6.424727368,10989134.51,44507.81185,23.52837172,26.64318,1.61954,25.83188,4.555566,24.63874,33.56296,36.77866788,10.412664,53.29864987,3.935201155,0.748370267,0.8250554,0.453370267,0.5297,0.114929577,0.122142857,
2026,3043905.52,0.5297,6.454173684,11133372.67,45044.67257,25.22042041,27.03852,1.660372,26.22337,4.619351,24.63941,34.06996,38.47239611,10.571605,58.3342267,3.935201155,0.747341716,0.823512573,0.452341716,0.5297,0.114929577,0.122142857,
2027,3141023.798,0.5297,6.48362,11279504.02,45588.00898,27.03277449,27.43385,1.701203,26.61486,4.683136,24.63902,34.57696,40.24408353,10.730545,63.84555731,3.935201155,0.746323398,0.821985098,0.451323398,0.5297,0.113802817,0.118928571,
2028,3241191.951,0.5297,6.513066316,11427553.43,46137.43784,28.97629263,27.82919,1.742035,27.00635,4.746921,24.63924,35.08396,42.0974008,10.889486,69.87759021,3.935201155,0.745315214,0.820472821,0.450315214,0.5297,0.112957746,0.118928571,
2029,3344604.818,0.5297,6.542512632,11577546.07,46693.95537,31.05891858,28.22453,1.782867,27.39783,4.810705,24.63912,35.59096,44.03606688,11.048426,76.47952057,3.935201155,0.744317061,0.818975591,0.449317061,0.5297,0.112112676,0.118928571,
2030,3451317.155,0.5297,6.571958947,11729507.43,47257.18572,33.29162953,28.61987,1.823698,27.78932,4.87449,24.63919,36.09796,46.06401226,11.207367,83.70519144,3.935201155,0.743328839,0.817493259,0.448328839,0.5297,0.111267606,0.118928571,
2031,3561434.236,0.5297,6.601405263,11883463.37,47827.20984,35.68459204,29.01521,1.86453,28.18081,4.938275,24.63915,36.60496,48.18534841,11.366307,91.61353291,3.935201155,0.742350451,0.816025677,0.447350451,0.5297,0.110422535,0.115714286,
2032,3675064.692,0.5297,6.630851579,12039440.06,48404.10969,38.24974907,29.41055,1.905362,28.5723,5.00206,24.63917,37.11196,50.40437617,11.525248,100.2690427,3.935201155,0.741381798,0.814572697,0.446381798,0.5297,0.109577465,0.115714286,
2033,3792320.621,0.5297,6.660297895,12197464.03,48987.9682,40.99913627,29.80589,1.946193,28.96378,5.065844,24.63916,37.61896,52.72559441,11.684188,109.7423121,3.935201155,0.740422783,0.813134175,0.445422783,0.5297,0.108732394,0.115714286,
2034,3913258.815,0.5297,6.689744211,12357562.14,49578.37353,43.94628093,30.20123,1.987025,29.35527,5.129629,24.63916,38.12596,55.15365405,11.843129,120.1104817,3.935201155,0.739473311,0.811709966,0.444473311,0.5297,0.107887324,0.115714286,
2035,4038114.522,0.5297,6.719190526,12519761.63,50176.39621,47.10518124,30.59657,2.027856,29.74676,5.193414,24.63916,38.63296,57.69358564,12.002069,131.4583406,3.935201155,0.738533285,0.810299928,0.443533285,0.5297,0.107042254,0.115714286,
2036,4166953.85,0.5297,6.748636842,12684090.07,50781.63234,50.49119679,30.99191,2.068688,30.13824,5.257199,24.63916,39.13996,60.35048597,12.16101,143.8783283,3.935201155,0.737602614,0.80890392,0.442602614,0.5297,0.106197183,0.115714286,
2037,4299903.903,0.5297,6.778083158,12850575.41,51394.16893,54.12055185,31.38725,2.10952,30.52973,5.320983,24.63916,39.64696,63.12974165,12.31995,157.4717379,3.935201155,0.736681202,0.807521803,0.441681202,0.5297,0.105352113,0.115714286,
2038,4437095.834,0.5297,6.807529474,13019245.95,52014.09404,58.0108464,31.78258,2.150351,30.92122,5.384768,24.63916,40.15396,66.03698739,12.478891,172.3494325,3.935201155,0.735768959,0.806153439,0.440768959,0.5297,0.104507042,0.1125,
2039,4578664.988,0.5297,6.836975789,13190130.39,52641.49679,62.18078319,32.17792,2.191183,31.31271,5.448553,24.63916,40.66096,69.07811737,12.637831,188.6327494,3.935201155,0.734865793,0.804798689,0.439865793,0.5297,0.103661972,0.1125,
2040,4724751.018,0.5297,6.866422105,13363257.77,53276.46738,66.65039679,32.57326,2.232015,31.70419,5.512338,24.63916,41.16796,72.25922496,12.796772,206.4544899,3.935201155,0.733971613,0.80345742,0.438971613,0.5297,0.102816901,0.1125,
2041,4875424.687,0.5297,6.895868421,13538657.54,53918.5579,71.4413619,32.9686,2.272846,32.09568,5.576122,24.63916,41.67496,75.58690093,12.955712,225.9600017,3.935201155,0.733086331,0.802129496,0.438086331,0.5297,0.101971831,0.1125,
2042,5030979.075,0.5297,6.925314737,13716359.52,54568.93261,76.57671126,33.36394,2.313678,32.48717,5.639907,24.63916,42.18196,79.06782275,13.114653,247.3083652,3.935201155,0.732209857,0.800814786,0.437209857,0.5297,0.101126761,0.1125,
2043,5191496.557,0.5297,6.954761053,13896393.94,55227.15225,82.08111782,33.75928,2.35451,32.87866,5.703692,24.63916,42.68896,82.70904771,13.273593,270.6736902,3.935201155,0.731342105,0.799513157,0.436342105,0.5297,0.10028169,0.1125,
2044,5357135.477,0.5297,6.984207368,14078791.4,55893.31145,87.98127432,34.15462,2.395341,33.27014,5.767477,24.63916,43.19596,86.51795806,13.432534,296.2465361,3.935201155,0.730482986,0.79822448,0.435482986,0.5297,0.09943662,0.1125,
2045,5528059.242,0.5297,7.013653684,14263582.92,56567.50598,94.30554598,34.54996,2.436173,33.66163,5.831261,24.63916,43.70296,90.50227604,13.591474,324.2354664,3.935201155,0.729632416,0.796948625,0.434632416,0.5297,0.098591549,0.109285714,
2046,5704436.469,0.5297,7.0431,14450799.93,57249.83275,101.084318,34.9453,2.477005,34.05312,5.895046,24.63916,44.20996,94.66998484,13.750414,354.868749,3.935201155,0.72879031,0.795685465,0.43379031,0.5297,0.097746479,0.109285714,
2047,5886441.154,0.5297,7.072546316,14640474.26,57940.38986,108.3504629,35.34064,2.517836,34.44461,5.958831,24.63916,44.71696,99.0297193,13.909355,388.3962184,3.935201155,0.727956582,0.794434874,0.432956582,0.5297,0.096901408,0.109285714,
2048,6074161.457,0.5297,7.101992632,14832638.17,58638.6902,116.1389129,35.73598,2.558668,34.83609,6.022616,24.63916,45.22396,103.5902279,14.068295,425.091313,3.935201155,0.727131151,0.793196726,0.432131151,0.5297,0.096056338,0.109285714,
2049,6267962.515,0.5297,7.131438947,15027324.32,59345.99994,124.487088,36.13132,2.599499,35.22758,6.0864,24.63916,45.73096,108.3607567,14.227236,465.2528401,3.935201155,0.726313932,0.791970898,0.431313932,0.5297,0.095211268,0.109285714,
2050,6467946.96,0.5297,7.160885263,15224565.84,60061.84138,133.4354713,36.52665,2.640331,35.61907,6.150185,24.63916,46.23797,113.3509774,14.386176,509.2092336,3.935201155,0.725504845,0.790757267,0.430504845,0.5297,0.094366197,0.109285714,
